EMG_s0,EMG_s1,EMG_s2,EMG_s3,EMG_s4,EMG_s5,EMG_s6,EMG_s7,timestamp
1.0,-2.0,-1.0,-6.0,-6.0,-7.0,0.0,1.0,1650820099422215.0
-6.0,1.0,6.0,13.0,6.0,-1.0,-3.0,1.0,1650820099422215.0
3.0,1.0,-1.0,-5.0,-1.0,-1.0,0.0,-1.0,1650820099423222.0
3.0,0.0,0.0,-5.0,-4.0,2.0,0.0,0.0,1650820099423222.0
-1.0,2.0,4.0,12.0,5.0,7.0,3.0,0.0,1650820099424237.0
2.0,0.0,-6.0,-2.0,1.0,-1.0,-1.0,0.0,1650820099424237.0
1.0,-3.0,3.0,-4.0,6.0,6.0,1.0,0.0,1650820099436177.0
0.0,1.0,3.0,3.0,-2.0,-1.0,0.0,-1.0,1650820099436177.0
1.0,0.0,0.0,2.0,-2.0,-8.0,-5.0,0.0,1650820099439194.0
1.0,-2.0,-3.0,-13.0,-13.0,-12.0,-3.0,0.0,1650820099439194.0
-1.0,-1.0,-2.0,-1.0,-7.0,-10.0,-2.0,-1.0,1650820099441192.0
-1.0,1.0,3.0,9.0,10.0,20.0,5.0,2.0,1650820099441192.0
-1.0,0.0,1.0,-5.0,10.0,15.0,2.0,2.0,1650820099453132.0
6.0,2.0,0.0,-3.0,-1.0,-1.0,1.0,1.0,1650820099453132.0
-1.0,2.0,-1.0,3.0,-3.0,-6.0,-2.0,1.0,1650820099466126.0
-6.0,-2.0,1.0,-2.0,-5.0,-9.0,-4.0,-1.0,1650820099466126.0
1.0,0.0,-4.0,-7.0,-5.0,-3.0,1.0,-1.0,1650820099473094.0
-1.0,0.0,3.0,3.0,-3.0,-5.0,-2.0,-1.0,1650820099473094.0
-1.0,-1.0,0.0,4.0,5.0,4.0,-3.0,1.0,1650820099497042.0
1.0,-2.0,-4.0,-8.0,-10.0,-4.0,0.0,-1.0,1650820099497042.0
-1.0,0.0,-2.0,0.0,0.0,3.0,1.0,-3.0,1650820099500036.0
-1.0,0.0,0.0,5.0,15.0,7.0,2.0,0.0,1650820099500036.0
0.0,-2.0,-2.0,-3.0,-6.0,-6.0,-2.0,-1.0,1650820099509981.0
0.0,1.0,-1.0,0.0,-8.0,-6.0,1.0,-1.0,1650820099509981.0
2.0,-2.0,-6.0,-14.0,-10.0,-3.0,0.0,-3.0,1650820099550872.0
0.0,0.0,-4.0,-4.0,-5.0,-6.0,-1.0,0.0,1650820099550872.0
-6.0,1.0,2.0,10.0,1.0,-7.0,-2.0,0.0,1650820099551869.0
0.0,-2.0,-1.0,-7.0,-5.0,-6.0,-2.0,0.0,1650820099551869.0
2.0,0.0,1.0,-2.0,3.0,19.0,3.0,1.0,1650820099554860.0
0.0,2.0,5.0,12.0,11.0,9.0,4.0,1.0,1650820099554860.0
0.0,1.0,2.0,1.0,7.0,8.0,0.0,-2.0,1650820099555858.0
1.0,-1.0,-3.0,-9.0,-3.0,-2.0,1.0,-1.0,1650820099555858.0
-3.0,-1.0,0.0,3.0,-6.0,-13.0,-3.0,-1.0,1650820099561842.0
-3.0,-2.0,-3.0,-4.0,-12.0,-8.0,-6.0,-3.0,1650820099561842.0
3.0,-2.0,-4.0,-11.0,-5.0,-6.0,-3.0,-1.0,1650820099569841.0
-3.0,0.0,-2.0,2.0,-2.0,-1.0,1.0,0.0,1650820099569841.0
-2.0,1.0,3.0,10.0,5.0,1.0,-2.0,0.0,1650820099576802.0
1.0,-1.0,-1.0,-2.0,10.0,-3.0,-2.0,-1.0,1650820099576802.0
