EMG_s0,EMG_s1,EMG_s2,EMG_s3,EMG_s4,EMG_s5,EMG_s6,EMG_s7,timestamp
10.0,3.0,12.0,-16.0,-10.0,-1.0,3.0,3.0,1650819796256704.0
14.0,7.0,-2.0,10.0,5.0,0.0,7.0,21.0,1650819796256704.0
-6.0,-7.0,-8.0,24.0,7.0,2.0,-3.0,-30.0,1650819796256964.0
-24.0,-13.0,6.0,-37.0,-10.0,-4.0,-24.0,-45.0,1650819796256964.0
44.0,33.0,-11.0,-3.0,-11.0,-6.0,18.0,42.0,1650819796257963.0
0.0,-52.0,-2.0,7.0,9.0,13.0,28.0,34.0,1650819796257963.0
-9.0,-28.0,-14.0,-34.0,-15.0,0.0,11.0,22.0,1650819796258961.0
-11.0,11.0,-8.0,10.0,-4.0,-7.0,0.0,3.0,1650819796258961.0
-41.0,-26.0,10.0,21.0,6.0,-5.0,-5.0,-28.0,1650819796263977.0
40.0,87.0,19.0,-2.0,10.0,9.0,-9.0,8.0,1650819796263977.0
9.0,-8.0,15.0,-12.0,-14.0,-18.0,2.0,-1.0,1650819796268961.0
-21.0,-24.0,-8.0,12.0,-5.0,-2.0,-20.0,-15.0,1650819796268961.0
13.0,-2.0,12.0,23.0,20.0,21.0,5.0,-12.0,1650819796284892.0
-23.0,-44.0,-3.0,-13.0,-4.0,-3.0,-1.0,0.0,1650819796284892.0
-23.0,21.0,0.0,6.0,10.0,-2.0,-18.0,-19.0,1650819796292870.0
7.0,28.0,-3.0,8.0,-1.0,-9.0,-6.0,-11.0,1650819796292870.0
-11.0,-11.0,6.0,-14.0,-14.0,-17.0,-10.0,-2.0,1650819796299852.0
3.0,-2.0,4.0,12.0,2.0,7.0,3.0,-3.0,1650819796299852.0
1.0,-2.0,-24.0,2.0,7.0,12.0,-2.0,-6.0,1650819796322685.0
15.0,-1.0,5.0,-9.0,1.0,3.0,11.0,12.0,1650819796322685.0
-10.0,-4.0,2.0,19.0,12.0,3.0,2.0,32.0,1650819796362519.0
2.0,-6.0,-12.0,-34.0,-9.0,1.0,7.0,3.0,1650819796362519.0
-1.0,-18.0,-20.0,-5.0,-7.0,-3.0,4.0,7.0,1650819796363508.0
-7.0,13.0,13.0,28.0,11.0,6.0,0.0,-12.0,1650819796363508.0
2.0,0.0,-9.0,-25.0,-14.0,-10.0,-12.0,-12.0,1650819796364505.0
0.0,-21.0,13.0,6.0,2.0,5.0,24.0,62.0,1650819796364505.0
5.0,5.0,7.0,12.0,8.0,4.0,-1.0,-13.0,1650819796367496.0
2.0,-7.0,0.0,6.0,2.0,-8.0,0.0,6.0,1650819796367496.0
-2.0,0.0,0.0,-13.0,-12.0,2.0,-9.0,-30.0,1650819796374450.0
-16.0,-1.0,-2.0,24.0,14.0,10.0,-9.0,-13.0,1650819796374450.0
0.0,9.0,3.0,9.0,18.0,10.0,-3.0,-6.0,1650819796382429.0
5.0,1.0,10.0,-12.0,-4.0,-12.0,0.0,3.0,1650819796382429.0
-7.0,-15.0,-3.0,0.0,-9.0,-11.0,8.0,13.0,1650819796389411.0
14.0,15.0,-1.0,13.0,-2.0,-1.0,-11.0,-10.0,1650819796389411.0
-17.0,-3.0,-1.0,-12.0,5.0,14.0,6.0,-10.0,1650819796405367.0
7.0,-3.0,18.0,-5.0,-4.0,8.0,14.0,16.0,1650819796405367.0
1.0,14.0,-12.0,8.0,5.0,-4.0,-6.0,-6.0,1650819796411351.0
-2.0,7.0,1.0,-9.0,-12.0,-14.0,-13.0,-34.0,1650819796411351.0
-4.0,2.0,-12.0,0.0,-7.0,-13.0,-27.0,3.0,1650819796426448.0
7.0,3.0,12.0,8.0,7.0,4.0,30.0,67.0,1650819796426448.0
0.0,5.0,-11.0,-8.0,-5.0,1.0,10.0,-25.0,1650819796435427.0
-6.0,-18.0,-4.0,-1.0,12.0,8.0,0.0,3.0,1650819796435427.0
2.0,6.0,9.0,-2.0,-1.0,5.0,-6.0,-27.0,1650819796450899.0
-10.0,-2.0,-21.0,-2.0,-6.0,-6.0,-22.0,-32.0,1650819796450899.0
1.0,-8.0,-7.0,-3.0,0.0,4.0,8.0,22.0,1650819796451903.0
8.0,16.0,6.0,-1.0,0.0,-13.0,7.0,6.0,1650819796451903.0
0.0,-5.0,12.0,15.0,2.0,10.0,3.0,1.0,1650819796473969.0
-4.0,-6.0,-11.0,-8.0,-9.0,1.0,-5.0,-5.0,1650819796473969.0
4.0,4.0,0.0,-14.0,-3.0,0.0,-4.0,-13.0,1650819796474899.0
3.0,26.0,-15.0,7.0,-1.0,-6.0,-22.0,-38.0,1650819796474899.0
7.0,-14.0,8.0,-8.0,-5.0,-14.0,22.0,75.0,1650819796487055.0
-15.0,4.0,-3.0,-4.0,0.0,1.0,-23.0,-98.0,1650819796487055.0
15.0,-6.0,10.0,20.0,9.0,10.0,17.0,78.0,1650819796495317.0
-12.0,2.0,-5.0,-10.0,-8.0,-9.0,-19.0,-36.0,1650819796495317.0
-1.0,3.0,-11.0,-14.0,-9.0,-7.0,-2.0,-2.0,1650819796510903.0
2.0,10.0,6.0,0.0,0.0,-2.0,-8.0,-17.0,1650819796510903.0
1.0,0.0,-2.0,2.0,-2.0,-3.0,-4.0,-1.0,1650819796511843.0
1.0,-11.0,6.0,6.0,5.0,8.0,3.0,1.0,1650819796511843.0
0.0,-1.0,-17.0,-10.0,-8.0,-5.0,-11.0,-23.0,1650819796533379.0
0.0,-3.0,9.0,16.0,6.0,2.0,6.0,29.0,1650819796533379.0
-14.0,1.0,2.0,-8.0,-1.0,0.0,-2.0,-37.0,1650819796534931.0
8.0,-16.0,-10.0,1.0,5.0,11.0,9.0,27.0,1650819796534931.0
8.0,5.0,25.0,15.0,11.0,5.0,2.0,-2.0,1650819796555081.0
-5.0,-23.0,-33.0,-19.0,-11.0,-8.0,2.0,3.0,1650819796555081.0
2.0,3.0,-18.0,-11.0,-9.0,-12.0,-3.0,4.0,1650819796557009.0
-7.0,3.0,33.0,5.0,-4.0,2.0,6.0,11.0,1650819796557009.0
-3.0,7.0,11.0,6.0,14.0,15.0,10.0,22.0,1650819796570218.0
5.0,2.0,-3.0,-3.0,5.0,5.0,9.0,-9.0,1650819796570218.0
0.0,2.0,-4.0,-4.0,-6.0,-17.0,-16.0,-9.0,1650819796572146.0
1.0,-12.0,-8.0,-15.0,-15.0,-9.0,4.0,10.0,1650819796572146.0
-8.0,4.0,4.0,6.0,-5.0,-4.0,-17.0,-37.0,1650819796593378.0
9.0,6.0,-5.0,-4.0,5.0,11.0,15.0,20.0,1650819796593378.0
-7.0,-1.0,8.0,0.0,5.0,5.0,-14.0,-25.0,1650819796594330.0
0.0,8.0,5.0,2.0,0.0,-5.0,5.0,11.0,1650819796594330.0
-5.0,-14.0,-22.0,-8.0,-10.0,-10.0,-9.0,-8.0,1650819796607587.0
-2.0,2.0,1.0,-1.0,-5.0,-7.0,-10.0,-9.0,1650819796607587.0
-14.0,-13.0,11.0,12.0,6.0,3.0,-6.0,-30.0,1650819796615568.0
12.0,2.0,-10.0,1.0,2.0,0.0,13.0,57.0,1650819796615568.0
2.0,8.0,6.0,-4.0,-3.0,0.0,10.0,0.0,1650819796630935.0
0.0,2.0,11.0,-2.0,0.0,-3.0,-14.0,1.0,1650819796630935.0
-9.0,2.0,-2.0,4.0,8.0,9.0,-10.0,-64.0,1650819796631863.0
-6.0,-8.0,-5.0,1.0,5.0,3.0,-3.0,21.0,1650819796631863.0
-5.0,4.0,11.0,-1.0,-7.0,-12.0,-6.0,-23.0,1650819796653437.0
6.0,-5.0,-17.0,-8.0,-4.0,-4.0,3.0,21.0,1650819796653437.0
11.0,14.0,21.0,12.0,5.0,10.0,16.0,39.0,1650819796654441.0
-3.0,-5.0,-20.0,-9.0,-1.0,-8.0,-12.0,-42.0,1650819796654441.0
-10.0,-1.0,5.0,9.0,5.0,10.0,0.0,15.0,1650819796666471.0
-1.0,-7.0,-1.0,-9.0,-7.0,1.0,-4.0,-5.0,1650819796666471.0
3.0,4.0,4.0,-3.0,10.0,8.0,6.0,17.0,1650819796675381.0
-8.0,9.0,11.0,6.0,-2.0,-2.0,-18.0,-36.0,1650819796675381.0
9.0,0.0,-12.0,-3.0,-7.0,-13.0,8.0,13.0,1650819796690566.0
-3.0,-7.0,-7.0,-12.0,-8.0,-3.0,19.0,45.0,1650819796690566.0
-3.0,-20.0,-3.0,-1.0,-9.0,-6.0,3.0,-1.0,1650819796692516.0
-4.0,2.0,-1.0,-1.0,3.0,-4.0,-8.0,-30.0,1650819796692516.0
6.0,6.0,-5.0,-1.0,4.0,0.0,-10.0,-9.0,1650819796712961.0
-7.0,0.0,-7.0,6.0,2.0,5.0,-8.0,-7.0,1650819796712961.0
-1.0,0.0,11.0,-4.0,2.0,3.0,0.0,11.0,1650819796714985.0
4.0,5.0,10.0,4.0,2.0,7.0,20.0,35.0,1650819796714985.0
0.0,-4.0,3.0,-4.0,-5.0,-4.0,-2.0,-5.0,1650819796727065.0
18.0,9.0,-14.0,-6.0,-6.0,-10.0,-5.0,-7.0,1650819796727065.0
-5.0,-8.0,-18.0,-3.0,-3.0,-12.0,-1.0,11.0,1650819796736043.0
-8.0,-11.0,-15.0,-15.0,-5.0,5.0,-10.0,-23.0,1650819796736043.0
4.0,3.0,3.0,6.0,4.0,4.0,9.0,14.0,1650819796749227.0
-5.0,2.0,12.0,7.0,6.0,9.0,0.0,-6.0,1650819796749227.0
4.0,7.0,5.0,1.0,-3.0,0.0,-5.0,-4.0,1650819796758467.0
6.0,1.0,2.0,11.0,7.0,2.0,14.0,22.0,1650819796758467.0
-3.0,-9.0,-14.0,-11.0,0.0,-3.0,-4.0,1.0,1650819796773441.0
0.0,-4.0,1.0,-9.0,-2.0,2.0,2.0,-13.0,1650819796773441.0
5.0,-3.0,0.0,4.0,-3.0,0.0,19.0,41.0,1650819796774442.0
-4.0,-8.0,-2.0,-3.0,-5.0,-3.0,-3.0,-9.0,1650819796774442.0
-4.0,0.0,-6.0,-6.0,-10.0,-8.0,-17.0,-36.0,1650819796795736.0
1.0,-8.0,-6.0,10.0,8.0,4.0,1.0,16.0,1650819796795736.0
1.0,10.0,23.0,8.0,7.0,5.0,1.0,-27.0,1650819796796697.0
6.0,0.0,-5.0,-11.0,-9.0,-1.0,15.0,57.0,1650819796796697.0
-5.0,0.0,-9.0,-9.0,-10.0,-4.0,-4.0,-16.0,1650819796810826.0
-2.0,-7.0,6.0,8.0,8.0,-4.0,-13.0,-21.0,1650819796810826.0
3.0,3.0,-8.0,1.0,3.0,7.0,5.0,0.0,1650819796811757.0
-6.0,-2.0,3.0,3.0,3.0,5.0,-6.0,-21.0,1650819796811757.0
6.0,-9.0,2.0,-5.0,7.0,8.0,11.0,16.0,1650819796832876.0
-8.0,1.0,-5.0,-1.0,-3.0,-4.0,0.0,-2.0,1650819796832876.0
3.0,4.0,8.0,-3.0,-6.0,-11.0,-13.0,-9.0,1650819796834804.0
-4.0,2.0,-6.0,-3.0,-7.0,-6.0,-7.0,-19.0,1650819796834804.0
10.0,-3.0,3.0,7.0,-5.0,-6.0,7.0,17.0,1650819796855653.0
-2.0,4.0,10.0,1.0,1.0,1.0,-1.0,-10.0,1650819796855653.0
-3.0,-8.0,-10.0,-4.0,5.0,11.0,3.0,16.0,1650819796856560.0
6.0,5.0,0.0,-2.0,1.0,-2.0,2.0,4.0,1650819796856560.0
-3.0,-1.0,-2.0,3.0,1.0,2.0,4.0,3.0,1650819796870707.0
-4.0,2.0,4.0,-4.0,-8.0,-15.0,-11.0,-28.0,1650819796870707.0
1.0,-1.0,3.0,5.0,-3.0,6.0,-6.0,18.0,1650819796871665.0
-7.0,-17.0,-12.0,-1.0,-2.0,-2.0,12.0,3.0,1650819796871665.0
0.0,7.0,2.0,-7.0,1.0,5.0,4.0,19.0,1650819796892843.0
-1.0,2.0,7.0,6.0,5.0,4.0,-2.0,-39.0,1650819796892843.0
0.0,2.0,-21.0,-4.0,5.0,1.0,0.0,9.0,1650819796894799.0
3.0,6.0,3.0,-6.0,-6.0,-4.0,-5.0,-15.0,1650819796894799.0
-5.0,-8.0,2.0,6.0,-2.0,-1.0,-2.0,5.0,1650819796915871.0
0.0,-5.0,-3.0,2.0,-4.0,-6.0,0.0,10.0,1650819796915871.0
-1.0,0.0,-6.0,-5.0,-9.0,-11.0,-2.0,-13.0,1650819796916877.0
3.0,3.0,7.0,1.0,10.0,8.0,2.0,6.0,1650819796916877.0
3.0,6.0,1.0,3.0,8.0,14.0,2.0,-4.0,1650819796929934.0
1.0,-2.0,0.0,3.0,6.0,12.0,7.0,20.0,1650819796929934.0
4.0,2.0,9.0,2.0,1.0,0.0,0.0,-2.0,1650819796936917.0
0.0,-1.0,-4.0,-7.0,-11.0,-13.0,-6.0,-3.0,1650819796936917.0
-4.0,-1.0,-1.0,-1.0,-6.0,-8.0,-7.0,-9.0,1650819796951986.0
-4.0,0.0,-3.0,-2.0,-3.0,-4.0,1.0,14.0,1650819796951986.0
1.0,1.0,8.0,1.0,-2.0,-8.0,0.0,3.0,1650819796960858.0
3.0,7.0,6.0,2.0,2.0,1.0,-5.0,-15.0,1650819796960858.0
-9.0,-8.0,-8.0,-3.0,0.0,-1.0,-11.0,-17.0,1650819796974897.0
10.0,6.0,0.0,-1.0,1.0,4.0,10.0,20.0,1650819796974897.0
4.0,-5.0,-6.0,0.0,-2.0,-1.0,2.0,-5.0,1650819796976897.0
-6.0,-3.0,-7.0,0.0,-2.0,1.0,-5.0,-4.0,1650819796976897.0
-1.0,-2.0,-2.0,-3.0,-1.0,-2.0,4.0,2.0,1650819796989922.0
0.0,-7.0,3.0,3.0,-3.0,-6.0,-5.0,1.0,1650819796989922.0
-2.0,1.0,-6.0,1.0,2.0,5.0,-3.0,-10.0,1650819796996904.0
3.0,5.0,7.0,3.0,4.0,14.0,3.0,-1.0,1650819796996904.0
1.0,-2.0,2.0,-2.0,-4.0,-6.0,0.0,7.0,1650819797012916.0
-2.0,2.0,-2.0,2.0,1.0,-1.0,-2.0,-2.0,1650819797012916.0
-1.0,0.0,-1.0,-4.0,-4.0,-6.0,-2.0,0.0,1650819797014872.0
-3.0,-5.0,0.0,0.0,0.0,0.0,1.0,-1.0,1650819797014872.0
0.0,2.0,-1.0,3.0,5.0,10.0,4.0,4.0,1650819797034886.0
1.0,2.0,0.0,-2.0,1.0,6.0,1.0,3.0,1650819797034886.0
-1.0,-8.0,-6.0,-4.0,-5.0,-6.0,-3.0,-3.0,1650819797036883.0
2.0,-5.0,-3.0,-1.0,-4.0,-10.0,-5.0,7.0,1650819797036883.0
-3.0,-1.0,1.0,0.0,-3.0,-7.0,-2.0,-13.0,1650819797049915.0
-2.0,-1.0,-3.0,-3.0,-4.0,-4.0,-1.0,7.0,1650819797049915.0
-1.0,-1.0,-3.0,1.0,1.0,12.0,0.0,-3.0,1650819797057012.0
2.0,2.0,6.0,7.0,8.0,12.0,3.0,4.0,1650819797057012.0
2.0,4.0,-2.0,-2.0,-3.0,-8.0,-1.0,0.0,1650819797073493.0
-4.0,-4.0,-5.0,-7.0,-8.0,-15.0,-4.0,-5.0,1650819797073493.0
-3.0,-1.0,-2.0,-10.0,-7.0,2.0,-5.0,-6.0,1650819797074504.0
1.0,-1.0,-1.0,4.0,2.0,2.0,4.0,-1.0,1650819797074504.0
-1.0,0.0,-2.0,-2.0,4.0,2.0,1.0,1.0,1650819797095929.0
-8.0,1.0,-1.0,-3.0,-1.0,-3.0,-2.0,-1.0,1650819797095929.0
