EMG_s0,EMG_s1,EMG_s2,EMG_s3,EMG_s4,EMG_s5,EMG_s6,EMG_s7,timestamp
-1.0,1.0,-2.0,-2.0,-9.0,-8.0,-3.0,-1.0,1650821804822157.0
-5.0,0.0,1.0,-1.0,-9.0,-21.0,-7.0,0.0,1650821804822157.0
6.0,0.0,1.0,-2.0,-10.0,15.0,4.0,0.0,1650821804823154.0
2.0,2.0,2.0,1.0,1.0,24.0,7.0,2.0,1650821804823154.0
1.0,2.0,0.0,3.0,21.0,14.0,2.0,1.0,1650821804824151.0
0.0,-2.0,5.0,3.0,-7.0,-12.0,-1.0,0.0,1650821804824151.0
-1.0,-2.0,0.0,-1.0,-4.0,-28.0,-6.0,-3.0,1650821804825148.0
-1.0,0.0,1.0,1.0,9.0,11.0,-2.0,-1.0,1650821804825148.0
1.0,1.0,0.0,-2.0,-5.0,4.0,2.0,-2.0,1650821804835135.0
-1.0,-4.0,-8.0,-9.0,-3.0,-6.0,-1.0,0.0,1650821804835135.0
-1.0,0.0,2.0,-1.0,-16.0,-5.0,-4.0,1.0,1650821804840136.0
0.0,-2.0,-3.0,-2.0,-11.0,-12.0,-1.0,-1.0,1650821804840136.0
0.0,-3.0,0.0,2.0,11.0,-1.0,0.0,0.0,1650821804849104.0
0.0,2.0,-1.0,1.0,17.0,25.0,7.0,2.0,1650821804849104.0
0.0,-1.0,2.0,1.0,-4.0,2.0,-1.0,1.0,1650821804865041.0
-2.0,0.0,-2.0,-4.0,-9.0,-17.0,-3.0,0.0,1650821804865041.0
-1.0,-2.0,1.0,-1.0,-4.0,-2.0,-2.0,-1.0,1650821804870028.0
0.0,-1.0,-4.0,-3.0,-3.0,-13.0,-2.0,-2.0,1650821804870028.0
-1.0,1.0,-1.0,1.0,10.0,12.0,3.0,0.0,1650821804885016.0
-2.0,0.0,2.0,2.0,0.0,14.0,1.0,0.0,1650821804885016.0
0.0,0.0,-1.0,3.0,3.0,3.0,4.0,2.0,1650821804900973.0
1.0,1.0,0.0,-1.0,1.0,-13.0,-3.0,-2.0,1650821804900973.0
-1.0,-3.0,-4.0,-6.0,-15.0,-6.0,0.0,-3.0,1650821804931863.0
0.0,2.0,0.0,-2.0,1.0,1.0,-3.0,0.0,1650821804931863.0
-2.0,-6.0,-3.0,-1.0,7.0,4.0,-2.0,-1.0,1650821804932860.0
2.0,0.0,3.0,4.0,0.0,7.0,4.0,0.0,1650821804932860.0
1.0,3.0,3.0,6.0,11.0,8.0,3.0,2.0,1650821804933886.0
-1.0,0.0,0.0,1.0,-4.0,1.0,2.0,-1.0,1650821804933886.0
0.0,2.0,-1.0,-5.0,-26.0,-16.0,-2.0,0.0,1650821804934883.0
-4.0,-1.0,-4.0,-3.0,23.0,5.0,-4.0,-2.0,1650821804934883.0
2.0,-2.0,-1.0,1.0,1.0,5.0,-1.0,-3.0,1650821804944856.0
5.0,-3.0,-3.0,-6.0,-13.0,-18.0,-4.0,1.0,1650821804944856.0
1.0,-1.0,-2.0,-3.0,-2.0,4.0,0.0,-1.0,1650821804953804.0
-2.0,0.0,0.0,1.0,-9.0,-10.0,-4.0,-2.0,1650821804953804.0
1.0,1.0,2.0,1.0,10.0,24.0,6.0,1.0,1650821804967767.0
-1.0,-2.0,-1.0,3.0,14.0,16.0,4.0,2.0,1650821804967767.0
1.0,1.0,2.0,0.0,-4.0,-10.0,-1.0,0.0,1650821804975773.0
0.0,0.0,-3.0,-4.0,-23.0,-22.0,-5.0,-3.0,1650821804975773.0
-3.0,-1.0,0.0,-4.0,0.0,-13.0,-6.0,0.0,1650821804982755.0
-1.0,-1.0,1.0,3.0,3.0,8.0,1.0,-1.0,1650821804982755.0
0.0,1.0,1.0,4.0,9.0,12.0,4.0,2.0,1650821804997707.0
1.0,-2.0,-1.0,1.0,10.0,10.0,2.0,1.0,1650821804997707.0
-1.0,-1.0,-4.0,-4.0,-8.0,-10.0,-3.0,0.0,1650821805012677.0
-1.0,2.0,-1.0,-3.0,-16.0,-25.0,-3.0,-2.0,1650821805012677.0
1.0,0.0,-1.0,1.0,7.0,10.0,1.0,1.0,1650821805021657.0
1.0,3.0,0.0,-1.0,3.0,20.0,5.0,0.0,1650821805021657.0
-1.0,-1.0,-1.0,-2.0,-9.0,-7.0,-2.0,-2.0,1650821805023619.0
-1.0,-4.0,1.0,0.0,-1.0,-10.0,-2.0,-1.0,1650821805023619.0
-2.0,0.0,1.0,0.0,16.0,2.0,-3.0,-3.0,1650821805043565.0
1.0,-2.0,-3.0,-4.0,-9.0,0.0,0.0,0.0,1650821805043565.0
0.0,1.0,2.0,6.0,5.0,7.0,0.0,1.0,1650821805045559.0
-2.0,-1.0,1.0,-1.0,1.0,1.0,2.0,-2.0,1650821805045559.0
-1.0,-3.0,-2.0,1.0,-9.0,-19.0,-2.0,-3.0,1650821805057555.0
-1.0,-3.0,-2.0,0.0,5.0,9.0,-1.0,-1.0,1650821805057555.0
1.0,1.0,-3.0,-2.0,3.0,11.0,1.0,-2.0,1650821805066516.0
0.0,2.0,-3.0,-3.0,-9.0,-12.0,-4.0,-2.0,1650821805066516.0
-1.0,-4.0,-2.0,-3.0,-8.0,-19.0,-3.0,-1.0,1650821805081483.0
-2.0,1.0,1.0,-1.0,6.0,6.0,1.0,0.0,1650821805081483.0
-1.0,-1.0,0.0,2.0,4.0,2.0,1.0,-1.0,1650821805083056.0
-1.0,5.0,1.0,2.0,14.0,19.0,5.0,3.0,1650821805083056.0
-4.0,2.0,0.0,0.0,5.0,13.0,1.0,0.0,1650821805103999.0
2.0,-4.0,-2.0,-4.0,-14.0,-14.0,-3.0,-2.0,1650821805103999.0
-1.0,0.0,1.0,-2.0,-17.0,-21.0,-3.0,-2.0,1650821805105994.0
-3.0,-1.0,-1.0,0.0,1.0,-2.0,-5.0,-2.0,1650821805105994.0
-8.0,-1.0,-1.0,1.0,3.0,4.0,1.0,2.0,1650821805126938.0
8.0,1.0,-1.0,0.0,4.0,0.0,2.0,1.0,1650821805126938.0
-1.0,-1.0,-1.0,-1.0,4.0,9.0,2.0,0.0,1650821805127936.0
-1.0,-4.0,-5.0,-2.0,-6.0,-6.0,-1.0,-1.0,1650821805127936.0
-1.0,-3.0,2.0,-3.0,-10.0,-7.0,-4.0,-3.0,1650821805141925.0
-5.0,0.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1650821805141925.0
1.0,3.0,2.0,0.0,6.0,0.0,0.0,0.0,1650821805142897.0
0.0,-1.0,-1.0,-1.0,5.0,4.0,2.0,0.0,1650821805142897.0
1.0,2.0,0.0,0.0,-4.0,4.0,3.0,0.0,1650821805163839.0
-3.0,-1.0,1.0,-1.0,-2.0,-8.0,-1.0,-1.0,1650821805163839.0
-2.0,-3.0,-2.0,-4.0,-14.0,-17.0,-6.0,-2.0,1650821805165862.0
-1.0,-2.0,2.0,0.0,14.0,29.0,2.0,-2.0,1650821805165862.0
2.0,6.0,-1.0,0.0,15.0,23.0,3.0,0.0,1650821805186971.0
-2.0,-2.0,1.0,2.0,-1.0,-18.0,-2.0,1.0,1650821805186971.0
-1.0,3.0,0.0,0.0,-3.0,-6.0,0.0,1.0,1650821805187972.0
3.0,-2.0,-4.0,-6.0,-9.0,1.0,-2.0,-1.0,1650821805187972.0
1.0,1.0,1.0,3.0,-2.0,-3.0,-4.0,-2.0,1650821805202000.0
-2.0,0.0,-2.0,2.0,-4.0,-6.0,-3.0,0.0,1650821805202000.0
1.0,-3.0,-1.0,-2.0,0.0,-7.0,-2.0,0.0,1650821805202931.0
1.0,0.0,1.0,-1.0,-8.0,-6.0,1.0,-1.0,1650821805202931.0
2.0,-2.0,-2.0,-3.0,-2.0,-5.0,-1.0,-2.0,1650821805224208.0
-2.0,-1.0,2.0,-1.0,0.0,3.0,0.0,-2.0,1650821805224208.0
-2.0,-4.0,-1.0,0.0,3.0,11.0,2.0,1.0,1650821805225170.0
3.0,3.0,2.0,1.0,7.0,3.0,0.0,1.0,1650821805225170.0
-2.0,-2.0,-2.0,-2.0,-5.0,-5.0,-2.0,-1.0,1650821805247123.0
2.0,2.0,0.0,2.0,3.0,-2.0,2.0,1.0,1650821805247123.0
0.0,2.0,0.0,1.0,0.0,6.0,3.0,0.0,1650821805248079.0
