EMG_s0,EMG_s1,EMG_s2,EMG_s3,EMG_s4,EMG_s5,EMG_s6,EMG_s7,timestamp
-2.0,1.0,2.0,6.0,3.0,2.0,0.0,-2.0,1650820306452817.0
-1.0,2.0,2.0,3.0,7.0,6.0,-1.0,1.0,1650820306452817.0
3.0,-3.0,2.0,-7.0,-4.0,-2.0,1.0,-1.0,1650820306453844.0
2.0,-2.0,0.0,-5.0,0.0,1.0,0.0,0.0,1650820306453844.0
-3.0,0.0,2.0,7.0,3.0,1.0,-1.0,2.0,1650820306458801.0
2.0,-1.0,-2.0,-4.0,-5.0,-4.0,0.0,-1.0,1650820306458801.0
2.0,-2.0,0.0,-3.0,1.0,3.0,-1.0,0.0,1650820306459798.0
-5.0,1.0,-1.0,3.0,4.0,6.0,0.0,-1.0,1650820306459798.0
5.0,1.0,0.0,0.0,-2.0,-6.0,-2.0,-2.0,1650820306463820.0
1.0,-3.0,-3.0,-9.0,-7.0,-1.0,1.0,-1.0,1650820306463820.0
-3.0,2.0,0.0,6.0,7.0,3.0,3.0,2.0,1650820306471796.0
0.0,0.0,3.0,5.0,3.0,2.0,1.0,1.0,1650820306471796.0
1.0,-2.0,-5.0,-13.0,-5.0,-5.0,-1.0,-2.0,1650820306481740.0
-1.0,-1.0,0.0,4.0,-1.0,-3.0,-1.0,-1.0,1650820306481740.0
0.0,2.0,2.0,6.0,4.0,1.0,0.0,0.0,1650820306494733.0
0.0,-2.0,1.0,1.0,0.0,3.0,-1.0,-1.0,1650820306494733.0
3.0,-3.0,-3.0,-7.0,-1.0,-2.0,-2.0,1.0,1650820306501718.0
-6.0,0.0,4.0,8.0,1.0,-3.0,-2.0,1.0,1650820306501718.0
6.0,1.0,-7.0,-8.0,-6.0,1.0,1.0,-2.0,1650820306525649.0
1.0,0.0,1.0,-2.0,-1.0,0.0,1.0,1.0,1650820306525649.0
-4.0,1.0,5.0,6.0,1.0,0.0,-1.0,0.0,1650820306529638.0
4.0,1.0,2.0,0.0,-1.0,-2.0,-3.0,-2.0,1650820306529638.0
-1.0,-2.0,-7.0,-6.0,-1.0,-2.0,0.0,-1.0,1650820306539611.0
-2.0,0.0,2.0,2.0,-5.0,-6.0,-2.0,-2.0,1650820306539611.0
0.0,-6.0,-4.0,-15.0,-7.0,-3.0,3.0,-1.0,1650820306581781.0
2.0,-1.0,-1.0,5.0,5.0,0.0,0.0,1.0,1650820306581781.0
-1.0,2.0,6.0,8.0,1.0,-1.0,-2.0,0.0,1650820306584773.0
1.0,-1.0,1.0,-2.0,-4.0,-2.0,2.0,-1.0,1650820306584773.0
-1.0,0.0,2.0,6.0,2.0,0.0,-1.0,1.0,1650820306585770.0
-7.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,1650820306585770.0
5.0,-1.0,-7.0,-14.0,-9.0,-6.0,-4.0,-2.0,1650820306586794.0
2.0,-1.0,-4.0,-8.0,-5.0,-6.0,-2.0,0.0,1650820306586794.0
-5.0,2.0,2.0,13.0,6.0,4.0,-2.0,0.0,1650820306591783.0
1.0,-1.0,-3.0,-3.0,3.0,3.0,1.0,-1.0,1650820306591783.0
2.0,-1.0,0.0,-4.0,2.0,4.0,1.0,1.0,1650820306598763.0
-3.0,2.0,3.0,8.0,4.0,2.0,1.0,-1.0,1650820306598763.0
1.0,0.0,-1.0,-2.0,-3.0,-2.0,-2.0,-2.0,1650820306605729.0
2.0,-3.0,-4.0,-9.0,-9.0,-5.0,-3.0,0.0,1650820306605729.0
-1.0,-1.0,-3.0,2.0,-4.0,-3.0,-2.0,-3.0,1650820306621388.0
-1.0,0.0,0.0,-1.0,-1.0,-1.0,-3.0,-1.0,1650820306621388.0
5.0,1.0,1.0,-2.0,0.0,-1.0,1.0,0.0,1650820306629412.0
-8.0,-2.0,-3.0,-5.0,0.0,3.0,0.0,-3.0,1650820306629412.0
2.0,-1.0,2.0,1.0,-1.0,3.0,4.0,0.0,1650820306652832.0
-4.0,-5.0,-1.0,0.0,3.0,2.0,0.0,0.0,1650820306652832.0
6.0,3.0,0.0,8.0,0.0,-3.0,-3.0,-2.0,1650820306653767.0
1.0,1.0,0.0,-3.0,-5.0,-5.0,-2.0,-2.0,1650820306653767.0
-1.0,-1.0,-5.0,-6.0,0.0,0.0,1.0,1.0,1650820306667302.0
-2.0,0.0,-1.0,5.0,3.0,2.0,-1.0,0.0,1650820306667302.0
-3.0,-1.0,-1.0,-5.0,-2.0,-2.0,-1.0,0.0,1650820306667749.0
