,EMG_s0,EMG_s1,EMG_s2,EMG_s3,EMG_s4,EMG_s5,EMG_s6,EMG_s7,timestamp
67,0.0,-2.0,-1.0,5.0,0.0,-2.0,-2.0,0.0,1650479185429194.0
68,-1.0,-3.0,-5.0,-7.0,1.0,0.0,0.0,-1.0,1650479185431223.0
69,-1.0,-1.0,-1.0,-2.0,-2.0,0.0,0.0,-1.0,1650479185431223.0
70,0.0,2.0,-3.0,-5.0,-2.0,-1.0,-1.0,0.0,1650479185443535.0
71,1.0,0.0,3.0,6.0,1.0,-1.0,-1.0,0.0,1650479185443535.0
72,1.0,1.0,-1.0,2.0,-4.0,-1.0,-2.0,-2.0,1650479185452439.0
73,-1.0,-1.0,0.0,5.0,0.0,-1.0,-2.0,1.0,1650479185452439.0
74,-1.0,2.0,6.0,-1.0,-1.0,1.0,0.0,-2.0,1650479185466673.0
75,0.0,6.0,-8.0,-7.0,-3.0,-3.0,-1.0,-3.0,1650479185466673.0
76,2.0,1.0,-1.0,-1.0,-2.0,-1.0,-1.0,-1.0,1650479185468542.0
77,-1.0,3.0,3.0,2.0,1.0,0.0,1.0,-1.0,1650479185468542.0
78,1.0,-3.0,-4.0,-2.0,-2.0,-1.0,-2.0,2.0,1650479185489648.0
79,0.0,0.0,6.0,2.0,0.0,-1.0,-2.0,0.0,1650479185489648.0
80,-1.0,-2.0,-4.0,-4.0,0.0,1.0,0.0,0.0,1650479185490553.0
81,-1.0,-3.0,-2.0,-2.0,-1.0,1.0,-2.0,-2.0,1650479185490553.0
82,0.0,0.0,4.0,4.0,2.0,1.0,0.0,-2.0,1650479185503260.0
83,-3.0,-5.0,-1.0,-4.0,0.0,-1.0,-1.0,0.0,1650479185503260.0
84,-2.0,-2.0,2.0,4.0,-1.0,-1.0,1.0,0.0,1650479185511685.0
85,1.0,-1.0,-2.0,-2.0,-1.0,0.0,1.0,-1.0,1650479185511685.0
86,-3.0,-5.0,5.0,2.0,1.0,1.0,0.0,0.0,1650479185527122.0
87,0.0,-2.0,1.0,2.0,0.0,1.0,-1.0,0.0,1650479185527122.0
88,-1.0,1.0,1.0,-1.0,1.0,0.0,-1.0,0.0,1650479185527973.0
89,-1.0,-1.0,-3.0,-1.0,-1.0,-1.0,0.0,0.0,1650479185527973.0
90,0.0,2.0,-2.0,-3.0,0.0,-1.0,-1.0,-2.0,1650479185549232.0
91,-2.0,-2.0,1.0,-1.0,-1.0,-1.0,1.0,0.0,1650479185549232.0
92,0.0,-2.0,-3.0,2.0,-1.0,-2.0,-1.0,0.0,1650479185551229.0
93,0.0,0.0,1.0,-2.0,1.0,-1.0,0.0,-3.0,1650479185551229.0
94,1.0,0.0,-3.0,-4.0,-3.0,-1.0,0.0,0.0,1650479185563048.0
95,0.0,1.0,-3.0,-4.0,-1.0,0.0,-2.0,-2.0,1650479185563048.0
96,-3.0,-5.0,2.0,1.0,1.0,1.0,-1.0,1.0,1650479185572403.0
97,0.0,0.0,3.0,-2.0,1.0,0.0,0.0,1.0,1650479185572403.0
