EMG_s0,EMG_s1,EMG_s2,EMG_s3,EMG_s4,EMG_s5,EMG_s6,EMG_s7,timestamp
-2.0,2.0,-1.0,4.0,-2.0,0.0,-1.0,-2.0,1650849746373985.0
-2.0,-2.0,-2.0,-4.0,-4.0,-3.0,-1.0,-2.0,1650849746373985.0
-1.0,-4.0,-1.0,-3.0,-2.0,-5.0,-2.0,-2.0,1650849746378955.0
-2.0,-1.0,-1.0,1.0,1.0,-2.0,-2.0,-1.0,1650849746378955.0
-1.0,-3.0,-1.0,0.0,0.0,-3.0,-1.0,-1.0,1650849746380949.0
-1.0,-2.0,-1.0,-4.0,-2.0,-2.0,-3.0,0.0,1650849746380949.0
-1.0,2.0,0.0,1.0,-4.0,-6.0,1.0,1.0,1650849746381947.0
-1.0,0.0,-2.0,2.0,0.0,8.0,1.0,0.0,1650849746381947.0
0.0,-1.0,0.0,-2.0,8.0,3.0,0.0,-1.0,1650849746399926.0
-2.0,1.0,-2.0,-1.0,-3.0,-3.0,-2.0,-2.0,1650849746399926.0
-2.0,-1.0,-1.0,2.0,-2.0,-3.0,-2.0,-2.0,1650849746401898.0
-1.0,-2.0,-2.0,-2.0,2.0,-4.0,0.0,-1.0,1650849746401898.0
-2.0,-1.0,-3.0,-3.0,-5.0,-13.0,-3.0,-1.0,1650849746407888.0
0.0,0.0,0.0,5.0,5.0,24.0,5.0,1.0,1650849746407888.0
-2.0,0.0,0.0,2.0,3.0,4.0,0.0,0.0,1650849746416853.0
0.0,-2.0,0.0,-2.0,-4.0,-6.0,-3.0,-1.0,1650849746416853.0
-1.0,-2.0,0.0,2.0,-9.0,-4.0,-1.0,-1.0,1650849746432811.0
-1.0,-2.0,0.0,1.0,3.0,-7.0,-4.0,-2.0,1650849746432811.0
0.0,0.0,0.0,-3.0,3.0,1.0,1.0,-1.0,1650849746446794.0
0.0,0.0,1.0,0.0,0.0,3.0,-1.0,-1.0,1650849746446794.0
-1.0,1.0,-2.0,-1.0,0.0,0.0,0.0,1.0,1650849746449786.0
0.0,-2.0,0.0,-2.0,-7.0,-10.0,1.0,-1.0,1650849746449786.0
0.0,-1.0,0.0,1.0,-2.0,3.0,1.0,0.0,1650849746466720.0
0.0,-2.0,1.0,2.0,7.0,1.0,-1.0,-1.0,1650849746466720.0
1.0,1.0,-1.0,-1.0,2.0,-5.0,-1.0,1.0,1650849746506613.0
-1.0,0.0,-2.0,2.0,-3.0,-8.0,-3.0,-3.0,1650849746506613.0
2.0,-2.0,0.0,-3.0,3.0,17.0,4.0,0.0,1650849746506613.0
1.0,-1.0,0.0,-4.0,-8.0,-10.0,-1.0,-1.0,1650849746506613.0
-1.0,0.0,0.0,4.0,-1.0,7.0,0.0,0.0,1650849746507611.0
0.0,-1.0,0.0,0.0,9.0,-2.0,-1.0,1.0,1650849746507611.0
1.0,0.0,0.0,-4.0,-5.0,-8.0,-3.0,-1.0,1650849746512607.0
-1.0,0.0,-3.0,2.0,2.0,2.0,-1.0,-2.0,1650849746512607.0
-2.0,-2.0,0.0,-3.0,-5.0,-4.0,-1.0,-2.0,1650849746518582.0
0.0,-2.0,-1.0,-4.0,-3.0,-2.0,-1.0,-2.0,1650849746518582.0
-1.0,0.0,-1.0,0.0,1.0,-1.0,-2.0,-1.0,1650849746527571.0
-2.0,1.0,2.0,-1.0,-1.0,1.0,-1.0,0.0,1650849746527571.0
1.0,-1.0,-1.0,-6.0,-6.0,-6.0,-3.0,0.0,1650849746533567.0
0.0,1.0,1.0,3.0,12.0,12.0,2.0,0.0,1650849746533567.0
-2.0,-2.0,0.0,3.0,1.0,-3.0,-1.0,-2.0,1650849746550560.0
-1.0,-1.0,-1.0,-1.0,-3.0,-3.0,1.0,-2.0,1650849746550560.0
-1.0,-1.0,-1.0,0.0,-5.0,-2.0,1.0,0.0,1650849746556582.0
0.0,0.0,-1.0,0.0,-4.0,5.0,1.0,0.0,1650849746556582.0
-3.0,-1.0,-3.0,-1.0,3.0,-10.0,-4.0,-1.0,1650849746579341.0
-2.0,0.0,-1.0,-2.0,3.0,6.0,0.0,0.0,1650849746579341.0
-1.0,0.0,1.0,-1.0,0.0,2.0,2.0,0.0,1650849746580331.0
1.0,1.0,-1.0,1.0,-7.0,-5.0,0.0,-1.0,1650849746580331.0
1.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,1650849746594333.0
1.0,-1.0,-2.0,-1.0,-4.0,-5.0,-1.0,-1.0,1650849746594333.0
0.0,0.0,-2.0,1.0,3.0,1.0,0.0,-1.0,1650849746595292.0
-1.0,0.0,0.0,-1.0,0.0,6.0,0.0,-1.0,1650849746595292.0
0.0,-1.0,-1.0,-1.0,-8.0,-12.0,-2.0,-2.0,1650849746617448.0
-1.0,-1.0,0.0,2.0,9.0,7.0,0.0,0.0,1650849746617448.0
-1.0,0.0,-1.0,-2.0,1.0,2.0,-1.0,-2.0,1650849746617448.0
-1.0,-1.0,0.0,-4.0,-6.0,-6.0,-2.0,-1.0,1650849746617448.0
-1.0,1.0,0.0,0.0,-3.0,2.0,1.0,0.0,1650849746639474.0
1.0,-2.0,-2.0,0.0,1.0,-2.0,0.0,0.0,1650849746639474.0
-1.0,-1.0,-1.0,0.0,-4.0,-1.0,0.0,-2.0,1650849746640407.0
0.0,-1.0,-1.0,0.0,1.0,0.0,0.0,0.0,1650849746640407.0
0.0,0.0,-1.0,1.0,6.0,1.0,0.0,0.0,1650849746654437.0
1.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,1650849746654437.0
0.0,0.0,-2.0,-3.0,1.0,-4.0,-2.0,-2.0,1650849746655368.0
-3.0,-2.0,-1.0,-2.0,-11.0,-13.0,-2.0,-1.0,1650849746655368.0
1.0,0.0,0.0,1.0,4.0,24.0,6.0,2.0,1650849746677556.0
0.0,2.0,0.0,0.0,-2.0,-4.0,0.0,-2.0,1650849746677556.0
0.0,-3.0,0.0,0.0,4.0,-1.0,-1.0,-1.0,1650849746677556.0
-1.0,1.0,0.0,-3.0,-2.0,-2.0,-1.0,-1.0,1650849746677556.0
-1.0,-1.0,-1.0,0.0,-2.0,-6.0,-1.0,0.0,1650849746699612.0
1.0,0.0,-2.0,0.0,1.0,6.0,0.0,1.0,1650849746699612.0
-1.0,0.0,-1.0,0.0,-3.0,-1.0,-1.0,0.0,1650849746700542.0
-1.0,-1.0,-1.0,0.0,-1.0,-3.0,0.0,0.0,1650849746700542.0
-2.0,-1.0,-1.0,-3.0,-4.0,-2.0,-3.0,-1.0,1650849746714571.0
-1.0,1.0,-1.0,-1.0,1.0,-2.0,1.0,0.0,1650849746714571.0
-1.0,-1.0,-2.0,-1.0,0.0,-3.0,1.0,0.0,1650849746715502.0
0.0,-1.0,0.0,-1.0,1.0,3.0,0.0,-1.0,1650849746715502.0
0.0,-3.0,0.0,0.0,-3.0,-7.0,-2.0,0.0,1650849746737471.0
-2.0,-3.0,-1.0,-3.0,-10.0,1.0,-2.0,-1.0,1650849746737471.0
0.0,0.0,0.0,2.0,7.0,6.0,2.0,0.0,1650849746737471.0
1.0,-1.0,0.0,1.0,8.0,3.0,0.0,0.0,1650849746737471.0
-3.0,1.0,0.0,-1.0,-4.0,-9.0,-2.0,-1.0,1650849746759549.0
0.0,0.0,-1.0,1.0,5.0,15.0,1.0,-1.0,1650849746759549.0
-1.0,0.0,-1.0,-2.0,-11.0,-7.0,-2.0,-2.0,1650849746760480.0
1.0,-1.0,0.0,2.0,4.0,2.0,-1.0,-1.0,1650849746760480.0
1.0,-1.0,-1.0,-3.0,0.0,-2.0,0.0,-2.0,1650849746774502.0
0.0,-1.0,-1.0,2.0,4.0,0.0,0.0,-1.0,1650849746774502.0
-2.0,-1.0,-1.0,0.0,-3.0,0.0,-1.0,-1.0,1650849746775440.0
0.0,-3.0,-3.0,-1.0,-3.0,-4.0,-1.0,-1.0,1650849746775440.0
-1.0,1.0,-1.0,-1.0,0.0,1.0,-3.0,-2.0,1650849746797527.0
0.0,0.0,1.0,-2.0,-2.0,-8.0,-1.0,-1.0,1650849746797527.0
-1.0,2.0,0.0,0.0,3.0,4.0,-1.0,1.0,1650849746797527.0
-1.0,-1.0,-1.0,-1.0,-3.0,-2.0,-1.0,-1.0,1650849746797527.0
0.0,-1.0,-1.0,1.0,-1.0,2.0,0.0,1.0,1650849746819614.0
0.0,-1.0,1.0,-1.0,1.0,4.0,-1.0,-1.0,1650849746819614.0
0.0,-2.0,0.0,-1.0,3.0,-5.0,-1.0,0.0,1650849746820611.0
0.0,-2.0,1.0,0.0,1.0,2.0,-1.0,-1.0,1650849746820611.0
0.0,-1.0,1.0,-2.0,-2.0,-1.0,0.0,0.0,1650849746834572.0
-1.0,-1.0,0.0,-2.0,-7.0,-11.0,-3.0,-1.0,1650849746834572.0
3.0,-1.0,-1.0,1.0,13.0,19.0,4.0,2.0,1650849746835571.0
-1.0,-2.0,-2.0,-3.0,-2.0,-1.0,0.0,-2.0,1650849746835571.0
-3.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,1650849746857512.0
-3.0,-2.0,0.0,-3.0,-6.0,-8.0,-3.0,-1.0,1650849746857512.0
0.0,-2.0,0.0,0.0,-7.0,-4.0,-2.0,-2.0,1650849746857512.0
-1.0,1.0,-1.0,-1.0,1.0,1.0,0.0,-1.0,1650849746857512.0
2.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,1650849746879520.0
-1.0,0.0,0.0,0.0,5.0,3.0,1.0,-1.0,1650849746879520.0
-1.0,-1.0,1.0,-2.0,-1.0,-2.0,-1.0,0.0,1650849746880453.0
0.0,2.0,0.0,-1.0,-2.0,-1.0,0.0,1.0,1650849746880453.0
-1.0,0.0,-3.0,-2.0,-5.0,-8.0,-3.0,-3.0,1650849746894929.0
0.0,-1.0,-1.0,1.0,0.0,3.0,1.0,0.0,1650849746894929.0
-2.0,-1.0,-1.0,1.0,6.0,3.0,0.0,-2.0,1650849746895454.0
0.0,-1.0,-1.0,-1.0,-6.0,-6.0,-1.0,0.0,1650849746895454.0
-1.0,1.0,-1.0,-2.0,-9.0,1.0,-1.0,-1.0,1650849746918515.0
1.0,-1.0,-1.0,2.0,10.0,2.0,0.0,1.0,1650849746918515.0
0.0,-1.0,0.0,0.0,-3.0,-8.0,-2.0,-1.0,1650849746919524.0
0.0,-2.0,-1.0,1.0,5.0,3.0,-1.0,0.0,1650849746919524.0
-1.0,-2.0,1.0,1.0,1.0,2.0,0.0,1.0,1650849746939525.0
-2.0,-1.0,-1.0,-3.0,-3.0,-8.0,-3.0,0.0,1650849746939525.0
-1.0,0.0,-2.0,-3.0,-5.0,-7.0,-1.0,-1.0,1650849746940456.0
