EMG_s0,EMG_s1,EMG_s2,EMG_s3,EMG_s4,EMG_s5,EMG_s6,EMG_s7,timestamp
-9.0,-22.0,-35.0,-14.0,-7.0,-7.0,3.0,3.0,1650846520192180.0
-41.0,-74.0,-17.0,30.0,-27.0,-29.0,-19.0,11.0,1650846520192180.0
7.0,24.0,12.0,-16.0,9.0,8.0,-2.0,-18.0,1650846520192180.0
20.0,31.0,2.0,1.0,12.0,14.0,6.0,-8.0,1650846520192180.0
-32.0,-47.0,-12.0,13.0,-16.0,-22.0,-13.0,11.0,1650846520193189.0
18.0,13.0,15.0,0.0,5.0,11.0,0.0,-10.0,1650846520193189.0
22.0,41.0,9.0,2.0,15.0,17.0,16.0,-3.0,1650846520198163.0
-23.0,-49.0,-31.0,-11.0,-20.0,-20.0,-13.0,8.0,1650846520198163.0
-3.0,6.0,21.0,12.0,1.0,-2.0,0.0,-4.0,1650846520201076.0
31.0,60.0,9.0,-32.0,8.0,23.0,21.0,-6.0,1650846520201076.0
-1.0,-9.0,-7.0,29.0,12.0,-3.0,-3.0,13.0,1650846520213058.0
-26.0,-42.0,-12.0,-15.0,-18.0,-15.0,2.0,4.0,1650846520213058.0
23.0,43.0,28.0,15.0,17.0,16.0,4.0,-12.0,1650846520218070.0
1.0,13.0,-6.0,-2.0,8.0,5.0,-2.0,-3.0,1650846520218070.0
-20.0,-41.0,-1.0,8.0,-15.0,-14.0,-8.0,8.0,1650846520234029.0
-2.0,3.0,3.0,-4.0,-4.0,-2.0,3.0,-4.0,1650846520234029.0
25.0,43.0,12.0,-4.0,11.0,15.0,10.0,-3.0,1650846520243005.0
-22.0,-36.0,-12.0,3.0,-7.0,-16.0,-11.0,2.0,1650846520243005.0
-8.0,-6.0,-9.0,-32.0,-17.0,-5.0,-2.0,1.0,1650846520247964.0
19.0,29.0,13.0,-2.0,17.0,15.0,14.0,1.0,1650846520247964.0
-12.0,-20.0,-14.0,-3.0,1.0,-5.0,-15.0,-6.0,1650846520263746.0
-8.0,-21.0,0.0,-1.0,-5.0,-10.0,4.0,8.0,1650846520263746.0
9.0,17.0,4.0,-11.0,-5.0,5.0,-4.0,-5.0,1650846520271730.0
5.0,11.0,-4.0,-4.0,3.0,6.0,10.0,7.0,1650846520271730.0
-45.0,-86.0,-19.0,18.0,-24.0,-35.0,-24.0,18.0,1650846520310736.0
17.0,51.0,24.0,6.0,7.0,14.0,15.0,-9.0,1650846520310736.0
32.0,44.0,11.0,-12.0,16.0,19.0,2.0,-12.0,1650846520311734.0
-34.0,-65.0,-26.0,12.0,-9.0,-24.0,-8.0,12.0,1650846520311734.0
-3.0,6.0,3.0,-10.0,-9.0,-4.0,-9.0,-6.0,1650846520312731.0
28.0,44.0,16.0,-5.0,14.0,20.0,12.0,-5.0,1650846520312731.0
-22.0,-43.0,-29.0,-13.0,-12.0,-9.0,-3.0,11.0,1650846520316750.0
-12.0,-14.0,15.0,47.0,-6.0,-14.0,-8.0,0.0,1650846520316750.0
31.0,55.0,23.0,4.0,22.0,22.0,9.0,-12.0,1650846520323710.0
-14.0,-27.0,-26.0,-16.0,-8.0,-12.0,-14.0,-3.0,1650846520323710.0
-25.0,-46.0,-6.0,10.0,-18.0,-18.0,-11.0,7.0,1650846520331707.0
17.0,27.0,9.0,-19.0,1.0,14.0,20.0,2.0,1650846520331707.0
9.0,17.0,-7.0,-6.0,12.0,9.0,0.0,-12.0,1650846520338662.0
-31.0,-62.0,-22.0,5.0,-19.0,-19.0,-7.0,14.0,1650846520338662.0
-1.0,12.0,15.0,9.0,-2.0,-3.0,-10.0,-11.0,1650846520354814.0
28.0,44.0,18.0,-4.0,14.0,20.0,9.0,-4.0,1650846520354814.0
-7.0,-13.0,-8.0,2.0,-6.0,-7.0,7.0,13.0,1650846520360798.0
-9.0,-30.0,-4.0,-4.0,-7.0,-11.0,-20.0,-5.0,1650846520360798.0
16.0,37.0,7.0,-14.0,5.0,11.0,17.0,3.0,1650846520375826.0
0.0,5.0,2.0,34.0,5.0,1.0,-3.0,0.0,1650846520375826.0
-12.0,-26.0,-11.0,-16.0,-7.0,-14.0,-13.0,0.0,1650846520383739.0
2.0,7.0,13.0,8.0,7.0,5.0,-2.0,-5.0,1650846520383739.0
3.0,6.0,-2.0,9.0,3.0,0.0,2.0,-2.0,1650846520391817.0
-13.0,-20.0,-15.0,-18.0,-9.0,-7.0,-7.0,-3.0,1650846520391817.0
11.0,22.0,9.0,-1.0,2.0,9.0,12.0,2.0,1650846520398660.0
3.0,13.0,0.0,-1.0,1.0,4.0,4.0,0.0,1650846520398660.0
-9.0,-20.0,-8.0,-3.0,-9.0,-8.0,-4.0,6.0,1650846520414775.0
0.0,3.0,-2.0,-16.0,-4.0,1.0,1.0,-1.0,1650846520414775.0
8.0,8.0,5.0,6.0,3.0,5.0,5.0,-4.0,1650846520420790.0
-3.0,-4.0,-6.0,-5.0,-5.0,-5.0,-9.0,3.0,1650846520420790.0
2.0,2.0,7.0,13.0,5.0,-2.0,1.0,3.0,1650846520435835.0
5.0,12.0,1.0,-12.0,-1.0,1.0,1.0,-7.0,1650846520435835.0
0.0,-2.0,-11.0,-5.0,-5.0,0.0,12.0,6.0,1650846520442824.0
-5.0,-11.0,6.0,27.0,4.0,-4.0,-6.0,2.0,1650846520442824.0
-1.0,4.0,0.0,-18.0,0.0,2.0,0.0,-1.0,1650846520451862.0
2.0,3.0,-8.0,-13.0,-7.0,-2.0,-3.0,2.0,1650846520451862.0
-9.0,-13.0,2.0,18.0,-1.0,-8.0,-10.0,-6.0,1650846520458611.0
-5.0,-9.0,-3.0,-7.0,-1.0,-1.0,2.0,-2.0,1650846520458611.0
-2.0,1.0,-10.0,-4.0,-4.0,-1.0,-1.0,-1.0,1650846520474817.0
-5.0,-4.0,-1.0,-5.0,4.0,-2.0,-6.0,-4.0,1650846520474817.0
-1.0,-7.0,-5.0,-12.0,-2.0,7.0,6.0,2.0,1650846520480806.0
3.0,4.0,0.0,-6.0,-2.0,-6.0,-1.0,0.0,1650846520480806.0
-9.0,-15.0,-13.0,-10.0,-14.0,-5.0,8.0,0.0,1650846520495816.0
-4.0,-11.0,14.0,41.0,17.0,4.0,-10.0,-5.0,1650846520495816.0
5.0,8.0,1.0,-4.0,3.0,3.0,8.0,2.0,1650846520503734.0
2.0,12.0,1.0,-7.0,0.0,4.0,-5.0,0.0,1650846520503734.0
-4.0,-11.0,-4.0,-6.0,-4.0,-3.0,-1.0,2.0,1650846520512721.0
3.0,9.0,0.0,-13.0,-3.0,-1.0,1.0,0.0,1650846520512721.0
1.0,2.0,1.0,-7.0,-4.0,1.0,-4.0,-1.0,1650846520518694.0
-4.0,-7.0,-1.0,15.0,5.0,1.0,7.0,4.0,1650846520518694.0
2.0,11.0,6.0,3.0,-1.0,3.0,-5.0,-3.0,1650846520534847.0
5.0,5.0,3.0,8.0,5.0,2.0,6.0,4.0,1650846520534847.0
-6.0,-7.0,-6.0,-13.0,-9.0,-9.0,-17.0,-8.0,1650846520540829.0
1.0,8.0,3.0,11.0,11.0,7.0,20.0,9.0,1650846520540829.0
5.0,-8.0,3.0,8.0,4.0,3.0,0.0,-5.0,1650846520555848.0
-2.0,4.0,-4.0,-7.0,-7.0,-1.0,0.0,1.0,1650846520555848.0
-8.0,-23.0,-10.0,-10.0,-11.0,-8.0,-13.0,-4.0,1650846520563771.0
3.0,8.0,9.0,21.0,1.0,-4.0,7.0,-1.0,1650846520563771.0
0.0,1.0,0.0,4.0,10.0,5.0,-4.0,-3.0,1650846520572758.0
-6.0,-14.0,-8.0,-11.0,-7.0,-7.0,-4.0,0.0,1650846520572758.0
2.0,10.0,-8.0,-18.0,-7.0,2.0,18.0,4.0,1650846520578735.0
4.0,1.0,-1.0,2.0,8.0,7.0,-5.0,2.0,1650846520578735.0
-7.0,-11.0,-2.0,-1.0,-8.0,-7.0,-4.0,-5.0,1650846520594839.0
0.0,-11.0,-11.0,-17.0,-4.0,-1.0,-7.0,-1.0,1650846520594839.0
1.0,10.0,2.0,2.0,1.0,0.0,0.0,-2.0,1650846520600818.0
-3.0,-7.0,2.0,-8.0,-7.0,-3.0,4.0,-2.0,1650846520600818.0
-6.0,-3.0,0.0,2.0,-3.0,-5.0,-7.0,-2.0,1650846520615955.0
4.0,11.0,0.0,4.0,-2.0,-1.0,-2.0,-4.0,1650846520615955.0
-1.0,2.0,9.0,15.0,10.0,2.0,-6.0,-3.0,1650846520622934.0
-3.0,-6.0,-8.0,-17.0,-13.0,-3.0,-1.0,0.0,1650846520622934.0
-1.0,0.0,0.0,4.0,1.0,-2.0,-12.0,-8.0,1650846520631873.0
-1.0,-4.0,2.0,-4.0,-1.0,6.0,8.0,5.0,1650846520631873.0
3.0,2.0,4.0,18.0,10.0,5.0,6.0,3.0,1650846520638696.0
-10.0,-12.0,-8.0,-32.0,-19.0,-12.0,-30.0,-13.0,1650846520638696.0
6.0,17.0,11.0,32.0,17.0,12.0,29.0,12.0,1650846520654855.0
-6.0,-9.0,-7.0,-6.0,-3.0,-5.0,-14.0,-5.0,1650846520654855.0
