EMG_s0,EMG_s1,EMG_s2,EMG_s3,EMG_s4,EMG_s5,EMG_s6,EMG_s7,timestamp
2.0,14.0,-4.0,24.0,-3.0,-3.0,-3.0,2.0,1650848851691988.0
-1.0,7.0,-2.0,-12.0,-5.0,-7.0,-4.0,2.0,1650848851691988.0
-5.0,-13.0,-1.0,-10.0,-3.0,-4.0,-1.0,-6.0,1650848851696975.0
1.0,11.0,0.0,18.0,2.0,7.0,2.0,3.0,1650848851696975.0
2.0,8.0,-2.0,1.0,-1.0,0.0,-2.0,4.0,1650848851698975.0
-3.0,-10.0,0.0,-24.0,0.0,-7.0,-2.0,-6.0,1650848851698975.0
2.0,8.0,0.0,19.0,-7.0,-8.0,-4.0,-1.0,1650848851699967.0
3.0,11.0,-3.0,6.0,6.0,13.0,3.0,5.0,1650848851699967.0
-3.0,-9.0,2.0,-16.0,-3.0,-4.0,-1.0,-3.0,1650848851710966.0
-2.0,1.0,-1.0,7.0,-5.0,-15.0,-2.0,-1.0,1650848851710966.0
2.0,12.0,0.0,10.0,-2.0,13.0,2.0,7.0,1650848851718916.0
-1.0,-2.0,-1.0,-9.0,13.0,4.0,0.0,2.0,1650848851718916.0
-2.0,-5.0,1.0,-7.0,0.0,5.0,0.0,-4.0,1650848851725897.0
3.0,7.0,-1.0,11.0,3.0,-2.0,-1.0,0.0,1650848851725897.0
3.0,8.0,-2.0,-1.0,-6.0,-7.0,-2.0,3.0,1650848851740908.0
1.0,-5.0,2.0,-4.0,-3.0,-2.0,2.0,-4.0,1650848851740908.0
1.0,3.0,0.0,5.0,5.0,-3.0,2.0,1.0,1650848851748888.0
2.0,6.0,1.0,10.0,8.0,19.0,1.0,2.0,1650848851748888.0
1.0,-5.0,0.0,-12.0,1.0,-2.0,1.0,-2.0,1650848851756867.0
-1.0,-2.0,-1.0,-7.0,-7.0,-15.0,-4.0,-1.0,1650848851756867.0
-1.0,2.0,4.0,0.0,2.0,15.0,0.0,1.0,1650848851770849.0
-2.0,-2.0,2.0,4.0,-9.0,-3.0,-1.0,0.0,1650848851770849.0
-2.0,0.0,-1.0,0.0,17.0,3.0,1.0,0.0,1650848851780801.0
2.0,-1.0,-3.0,-4.0,-2.0,7.0,-1.0,1.0,1650848851780801.0
3.0,6.0,-4.0,-2.0,-7.0,-15.0,-6.0,1.0,1650848851809733.0
-3.0,-12.0,0.0,-16.0,-4.0,3.0,1.0,-6.0,1650848851809733.0
0.0,2.0,0.0,10.0,9.0,-3.0,-1.0,-1.0,1650848851817730.0
3.0,10.0,-3.0,15.0,-3.0,-1.0,0.0,2.0,1650848851817730.0
-3.0,-11.0,3.0,-16.0,0.0,3.0,3.0,-3.0,1650848851818700.0
1.0,1.0,2.0,4.0,9.0,7.0,4.0,0.0,1650848851818700.0
1.0,7.0,-3.0,5.0,-8.0,-7.0,-2.0,1.0,1650848851819699.0
-3.0,-8.0,2.0,-11.0,2.0,-1.0,-3.0,-3.0,1650848851819699.0
-2.0,-4.0,0.0,0.0,-8.0,-19.0,-3.0,-6.0,1650848851830668.0
2.0,9.0,-1.0,18.0,8.0,24.0,5.0,5.0,1650848851830668.0
-1.0,-2.0,0.0,-10.0,-2.0,4.0,-1.0,0.0,1650848851837651.0
-4.0,-9.0,0.0,-9.0,-4.0,-11.0,-1.0,-4.0,1650848851837651.0
1.0,4.0,-1.0,10.0,5.0,6.0,0.0,3.0,1650848851845629.0
0.0,2.0,-3.0,-2.0,-7.0,-15.0,-3.0,2.0,1650848851845629.0
-1.0,-7.0,3.0,-5.0,3.0,14.0,2.0,-3.0,1650848851860612.0
1.0,0.0,-1.0,2.0,1.0,3.0,0.0,-1.0,1650848851860612.0
0.0,4.0,-2.0,4.0,7.0,5.0,-1.0,1.0,1650848851867829.0
0.0,-3.0,-5.0,-7.0,-3.0,-7.0,-4.0,-4.0,1650848851867829.0
-3.0,-5.0,-1.0,-5.0,-11.0,-8.0,-3.0,-3.0,1650848851876844.0
2.0,5.0,3.0,5.0,-4.0,-11.0,-2.0,-3.0,1650848851876844.0
0.0,0.0,-2.0,-2.0,1.0,10.0,0.0,2.0,1650848851891480.0
0.0,-1.0,0.0,-3.0,1.0,3.0,3.0,0.0,1650848851891480.0
-1.0,-1.0,-2.0,2.0,-5.0,-11.0,-2.0,0.0,1650848851897504.0
0.0,0.0,-1.0,2.0,-3.0,-2.0,-3.0,0.0,1650848851897504.0
0.0,-2.0,2.0,-4.0,4.0,10.0,7.0,-1.0,1650848851905535.0
0.0,-2.0,-1.0,-2.0,-8.0,-13.0,-4.0,-3.0,1650848851905535.0
0.0,5.0,-1.0,0.0,5.0,5.0,-1.0,0.0,1650848851920686.0
-1.0,-3.0,-2.0,-7.0,-11.0,-8.0,0.0,-2.0,1650848851920686.0
0.0,-1.0,2.0,4.0,0.0,0.0,-2.0,-1.0,1650848851927600.0
-1.0,-1.0,0.0,4.0,2.0,1.0,-1.0,1.0,1650848851927600.0
1.0,-3.0,1.0,-4.0,-1.0,1.0,0.0,-1.0,1650848851936587.0
-2.0,-2.0,-5.0,-2.0,-5.0,-10.0,-3.0,-3.0,1650848851936587.0
0.0,3.0,-2.0,2.0,0.0,14.0,2.0,1.0,1650848851950601.0
-2.0,-1.0,2.0,-1.0,1.0,-12.0,-4.0,-1.0,1650848851950601.0
0.0,0.0,0.0,-2.0,-5.0,5.0,1.0,2.0,1650848851957584.0
-1.0,-2.0,-1.0,1.0,4.0,8.0,3.0,1.0,1650848851957584.0
-2.0,-1.0,-3.0,-3.0,-7.0,-11.0,-5.0,-1.0,1650848851965745.0
-2.0,-2.0,0.0,-2.0,1.0,-9.0,-5.0,-1.0,1650848851965745.0
1.0,0.0,2.0,6.0,9.0,26.0,4.0,0.0,1650848851980692.0
0.0,-1.0,-2.0,0.0,-8.0,-7.0,-2.0,0.0,1650848851980692.0
0.0,-1.0,1.0,-3.0,3.0,-5.0,-1.0,0.0,1650848851987674.0
-1.0,-3.0,-1.0,-4.0,-4.0,-4.0,-2.0,-2.0,1650848851987674.0
0.0,0.0,-3.0,-2.0,-9.0,-16.0,-3.0,-3.0,1650848851996607.0
1.0,2.0,3.0,-1.0,7.0,15.0,3.0,2.0,1650848851996607.0
-4.0,-4.0,1.0,11.0,-2.0,-12.0,-3.0,-2.0,1650848852010958.0
1.0,3.0,-1.0,1.0,7.0,8.0,2.0,1.0,1650848852010958.0
-1.0,-2.0,0.0,-3.0,-8.0,-2.0,2.0,-1.0,1650848852017940.0
-1.0,1.0,-3.0,-3.0,12.0,3.0,-2.0,0.0,1650848852017940.0
-1.0,-1.0,-3.0,-1.0,-3.0,0.0,1.0,-1.0,1650848852025870.0
-3.0,-1.0,-1.0,3.0,-8.0,-10.0,-3.0,-1.0,1650848852025870.0
0.0,-3.0,-2.0,-1.0,5.0,-14.0,-5.0,-2.0,1650848852039841.0
0.0,0.0,0.0,3.0,-4.0,38.0,4.0,1.0,1650848852039841.0
0.0,-1.0,1.0,-1.0,-2.0,-3.0,-2.0,0.0,1650848852047860.0
0.0,0.0,2.0,2.0,11.0,8.0,2.0,1.0,1650848852047860.0
0.0,-1.0,-4.0,-2.0,0.0,-10.0,-1.0,-4.0,1650848852062830.0
-1.0,0.0,-2.0,-2.0,-4.0,-15.0,-4.0,0.0,1650848852062830.0
0.0,0.0,-1.0,-1.0,-6.0,2.0,0.0,0.0,1650848852070806.0
-2.0,-2.0,0.0,-6.0,-9.0,4.0,4.0,-3.0,1650848852070806.0
0.0,-1.0,0.0,5.0,7.0,-2.0,-2.0,-1.0,1650848852077851.0
-1.0,-1.0,-1.0,2.0,-4.0,-21.0,-3.0,0.0,1650848852077851.0
2.0,1.0,-1.0,0.0,11.0,35.0,7.0,2.0,1650848852085806.0
0.0,-3.0,1.0,-2.0,2.0,-3.0,1.0,1.0,1650848852085806.0
-1.0,-1.0,-2.0,-2.0,4.0,3.0,-1.0,-1.0,1650848852100795.0
-1.0,0.0,0.0,-2.0,-3.0,-9.0,-2.0,-2.0,1650848852100795.0
-2.0,0.0,0.0,-1.0,-8.0,-10.0,-2.0,-2.0,1650848852107817.0
0.0,1.0,-2.0,2.0,-4.0,0.0,-1.0,0.0,1650848852107817.0
-3.0,-2.0,0.0,-3.0,-3.0,-16.0,-2.0,2.0,1650848852122776.0
0.0,0.0,2.0,2.0,12.0,40.0,10.0,4.0,1650848852122776.0
-2.0,-1.0,-1.0,-1.0,-1.0,-12.0,-3.0,-4.0,1650848852130688.0
1.0,0.0,-1.0,-2.0,2.0,6.0,-1.0,1.0,1650848852130688.0
-1.0,-4.0,-1.0,-2.0,-6.0,-8.0,-1.0,0.0,1650848852137737.0
-1.0,-2.0,1.0,-2.0,-1.0,-11.0,-3.0,-1.0,1650848852137737.0
-1.0,0.0,-3.0,0.0,-1.0,-1.0,0.0,1.0,1650848852145677.0
-1.0,0.0,0.0,-1.0,-2.0,0.0,1.0,0.0,1650848852145677.0
1.0,0.0,3.0,7.0,0.0,1.0,-2.0,1.0,1650848852168779.0
-3.0,-2.0,-3.0,-1.0,1.0,-3.0,-3.0,0.0,1650848852168779.0
1.0,2.0,2.0,0.0,-7.0,-4.0,0.0,-2.0,1650848852169710.0
1.0,0.0,-1.0,-3.0,4.0,8.0,0.0,0.0,1650848852169710.0
-1.0,-1.0,-1.0,-2.0,4.0,7.0,0.0,-2.0,1650848852183253.0
-2.0,0.0,-2.0,0.0,0.0,-1.0,-2.0,-1.0,1650848852183253.0
-2.0,-6.0,-2.0,-6.0,-9.0,-31.0,-5.0,-3.0,1650848852191302.0
0.0,1.0,-2.0,2.0,-5.0,18.0,5.0,1.0,1650848852191302.0
0.0,3.0,3.0,5.0,-1.0,4.0,3.0,3.0,1650848852198219.0
0.0,-1.0,3.0,1.0,11.0,0.0,-1.0,-1.0,1650848852198219.0
-2.0,-4.0,-2.0,-3.0,-3.0,-5.0,0.0,-1.0,1650848852205262.0
-2.0,-1.0,-1.0,1.0,-7.0,-13.0,-4.0,-2.0,1650848852205262.0
-1.0,-2.0,-3.0,-1.0,0.0,6.0,1.0,1.0,1650848852220184.0
0.0,-4.0,2.0,-3.0,-4.0,-10.0,-2.0,1.0,1650848852220184.0
0.0,3.0,1.0,8.0,5.0,13.0,0.0,0.0,1650848852228135.0
0.0,-1.0,0.0,-2.0,3.0,-2.0,1.0,0.0,1650848852228135.0
0.0,-2.0,-3.0,-4.0,1.0,3.0,0.0,-3.0,1650848852243122.0
0.0,1.0,-2.0,-2.0,-6.0,-4.0,0.0,-3.0,1650848852243122.0
1.0,0.0,0.0,4.0,8.0,5.0,-3.0,1.0,1650848852251134.0
-3.0,-2.0,-2.0,-7.0,-9.0,-8.0,-4.0,-1.0,1650848852251134.0
0.0,-2.0,0.0,1.0,-6.0,0.0,-2.0,-3.0,1650848852258082.0
1.0,-2.0,3.0,3.0,0.0,-15.0,-3.0,-2.0,1650848852258082.0
0.0,1.0,-1.0,-4.0,5.0,26.0,2.0,1.0,1650848852265036.0
-1.0,-4.0,2.0,-1.0,-4.0,-8.0,-1.0,-2.0,1650848852265036.0
-1.0,2.0,-2.0,1.0,1.0,-5.0,-1.0,0.0,1650848852279996.0
1.0,0.0,-3.0,-4.0,-1.0,8.0,2.0,-1.0,1650848852279996.0
-1.0,-1.0,2.0,-4.0,-7.0,-13.0,-3.0,-2.0,1650848852287893.0
-2.0,-1.0,-5.0,0.0,-1.0,-3.0,-5.0,-3.0,1650848852287893.0
0.0,1.0,1.0,4.0,5.0,0.0,0.0,0.0,1650848852303001.0
-1.0,-3.0,0.0,-6.0,-14.0,-7.0,-2.0,-2.0,1650848852303001.0
1.0,1.0,-3.0,8.0,13.0,2.0,0.0,0.0,1650848852310012.0
1.0,1.0,0.0,0.0,4.0,18.0,3.0,1.0,1650848852310012.0
-1.0,-3.0,-1.0,-5.0,-7.0,-5.0,0.0,-2.0,1650848852326966.0
0.0,-2.0,-2.0,2.0,0.0,2.0,-1.0,0.0,1650848852326966.0
-1.0,-2.0,-1.0,-5.0,-3.0,-25.0,-7.0,-1.0,1650848852327939.0
0.0,3.0,-2.0,8.0,4.0,31.0,10.0,1.0,1650848852327939.0
0.0,0.0,2.0,1.0,6.0,4.0,0.0,-2.0,1650848852339904.0
-1.0,-1.0,0.0,-5.0,-4.0,1.0,1.0,-2.0,1650848852339904.0
-2.0,-2.0,0.0,0.0,-5.0,-2.0,-1.0,0.0,1650848852347884.0
-1.0,-1.0,1.0,-2.0,-2.0,-21.0,-6.0,-1.0,1650848852347884.0
-1.0,-2.0,-5.0,-2.0,-2.0,2.0,-1.0,-1.0,1650848852362871.0
1.0,0.0,0.0,4.0,-2.0,0.0,0.0,1.0,1650848852362871.0
-2.0,-1.0,0.0,-2.0,0.0,5.0,2.0,-1.0,1650848852369825.0
0.0,0.0,0.0,-7.0,2.0,0.0,-1.0,-1.0,1650848852369825.0
1.0,-2.0,0.0,2.0,3.0,3.0,0.0,-3.0,1650848852378835.0
-2.0,-1.0,-3.0,0.0,-2.0,-12.0,-4.0,-2.0,1650848852378835.0
0.0,-2.0,-1.0,-3.0,5.0,19.0,5.0,0.0,1650848852393787.0
-1.0,-2.0,1.0,0.0,-8.0,-14.0,-2.0,-2.0,1650848852393787.0
-1.0,1.0,-3.0,-4.0,-5.0,-1.0,-2.0,0.0,1650848852400769.0
0.0,-2.0,-2.0,-6.0,-6.0,-14.0,-2.0,-2.0,1650848852400769.0
2.0,2.0,2.0,6.0,8.0,16.0,2.0,2.0,1650848852407723.0
0.0,-3.0,0.0,-2.0,4.0,-6.0,-2.0,-1.0,1650848852407723.0
-1.0,0.0,-2.0,-5.0,-9.0,-16.0,0.0,-1.0,1650848852422808.0
0.0,0.0,-2.0,1.0,15.0,33.0,3.0,1.0,1650848852422808.0
-2.0,-4.0,-4.0,-8.0,-10.0,-15.0,-4.0,-4.0,1650848852430760.0
0.0,1.0,9.0,12.0,6.0,0.0,-3.0,1.0,1650848852430760.0
-1.0,-4.0,-1.0,-6.0,-7.0,-2.0,-3.0,0.0,1650848852439748.0
1.0,1.0,-1.0,1.0,1.0,-5.0,1.0,-1.0,1650848852439748.0
-1.0,0.0,-1.0,-4.0,1.0,5.0,1.0,1.0,1650848852453726.0
0.0,-4.0,-3.0,-5.0,-10.0,-10.0,-1.0,-2.0,1650848852453726.0
0.0,0.0,2.0,6.0,4.0,-4.0,-2.0,0.0,1650848852460706.0
-1.0,-1.0,0.0,-1.0,11.0,19.0,4.0,0.0,1650848852460706.0
-2.0,-4.0,2.0,-6.0,-11.0,-13.0,-2.0,-2.0,1650848852467729.0
-1.0,-2.0,-3.0,4.0,5.0,1.0,-1.0,-1.0,1650848852467729.0
-2.0,-2.0,-1.0,-1.0,-3.0,2.0,-2.0,-1.0,1650848852482622.0
-1.0,-1.0,-5.0,-2.0,-7.0,-25.0,-7.0,-1.0,1650848852482622.0
1.0,2.0,0.0,5.0,4.0,31.0,7.0,2.0,1650848852490627.0
-1.0,-1.0,-1.0,-4.0,-3.0,-5.0,-1.0,0.0,1650848852490627.0
2.0,1.0,0.0,4.0,7.0,4.0,1.0,3.0,1650848852499576.0
0.0,-5.0,0.0,-4.0,2.0,-3.0,0.0,-2.0,1650848852499576.0
-2.0,-2.0,1.0,2.0,-7.0,-13.0,-5.0,-3.0,1650848852513538.0
-2.0,0.0,-1.0,7.0,-2.0,-1.0,0.0,0.0,1650848852513538.0
1.0,1.0,0.0,-2.0,14.0,13.0,2.0,0.0,1650848852520519.0
-1.0,0.0,1.0,-1.0,-10.0,-8.0,-2.0,-2.0,1650848852520519.0
0.0,0.0,-3.0,-3.0,3.0,-3.0,-1.0,1.0,1650848852527528.0
-1.0,-3.0,-5.0,-7.0,-10.0,-13.0,-3.0,-3.0,1650848852527528.0
0.0,0.0,1.0,2.0,4.0,24.0,4.0,1.0,1650848852542491.0
0.0,-1.0,3.0,2.0,-2.0,-3.0,1.0,-3.0,1650848852542491.0
-1.0,0.0,1.0,0.0,-8.0,-8.0,-3.0,-3.0,1650848852550508.0
-3.0,-1.0,-2.0,-2.0,6.0,-5.0,0.0,-2.0,1650848852550508.0
0.0,-1.0,0.0,0.0,2.0,15.0,7.0,0.0,1650848852566464.0
-1.0,1.0,-4.0,1.0,-2.0,-6.0,0.0,1.0,1650848852566464.0
-3.0,0.0,-2.0,-1.0,3.0,6.0,-1.0,0.0,1650848852573405.0
0.0,-2.0,4.0,-1.0,-1.0,-4.0,1.0,0.0,1650848852573405.0
-1.0,0.0,-4.0,0.0,-3.0,-13.0,-4.0,-2.0,1650848852580360.0
1.0,1.0,0.0,-3.0,5.0,14.0,0.0,0.0,1650848852580360.0
-2.0,-3.0,1.0,-1.0,-3.0,-18.0,-3.0,-3.0,1650848852587341.0
1.0,2.0,-3.0,3.0,-2.0,2.0,1.0,1.0,1650848852587341.0
-1.0,-1.0,2.0,-3.0,-8.0,-10.0,-3.0,0.0,1650848852603011.0
-1.0,-1.0,0.0,4.0,12.0,26.0,4.0,1.0,1650848852603011.0
-2.0,-6.0,-1.0,0.0,-2.0,-5.0,-2.0,-4.0,1650848852609958.0
0.0,0.0,-2.0,1.0,-5.0,1.0,-3.0,-3.0,1650848852609958.0
-1.0,1.0,2.0,-5.0,-2.0,-7.0,1.0,-1.0,1650848852618950.0
-1.0,-2.0,-1.0,-1.0,-7.0,-12.0,-2.0,-1.0,1650848852618950.0
1.0,3.0,1.0,0.0,-4.0,-22.0,-4.0,-1.0,1650848852633979.0
1.0,2.0,-2.0,3.0,13.0,52.0,11.0,2.0,1650848852633979.0
-2.0,-4.0,0.0,-4.0,7.0,-8.0,0.0,-2.0,1650848852639993.0
-1.0,-2.0,3.0,4.0,2.0,4.0,-1.0,1.0,1650848852639993.0
1.0,0.0,-4.0,-3.0,-3.0,0.0,1.0,0.0,1650848852655893.0
-2.0,-4.0,1.0,-3.0,-11.0,-24.0,-6.0,0.0,1650848852655893.0
1.0,2.0,-3.0,0.0,-5.0,-4.0,-2.0,1.0,1650848852662842.0
-1.0,1.0,-1.0,1.0,4.0,8.0,2.0,2.0,1650848852662842.0
1.0,-2.0,-2.0,-1.0,5.0,2.0,0.0,-1.0,1650848852670849.0
-2.0,-1.0,-1.0,-5.0,-13.0,-23.0,-6.0,-2.0,1650848852670849.0
-1.0,3.0,1.0,10.0,10.0,25.0,0.0,2.0,1650848852685778.0
0.0,-5.0,-1.0,-4.0,6.0,3.0,3.0,-2.0,1650848852685778.0
0.0,-3.0,1.0,-3.0,-10.0,-7.0,0.0,-2.0,1650848852693786.0
0.0,2.0,0.0,-1.0,1.0,0.0,-1.0,1.0,1650848852693786.0
-2.0,-4.0,-3.0,-8.0,-7.0,-21.0,-4.0,-3.0,1650848852700789.0
0.0,1.0,-2.0,1.0,-7.0,7.0,-6.0,1.0,1650848852700789.0
2.0,-1.0,-1.0,-1.0,2.0,7.0,2.0,1.0,1650848852707779.0
-1.0,-1.0,-2.0,-2.0,3.0,1.0,0.0,-3.0,1650848852707779.0
-1.0,-2.0,-1.0,-4.0,-7.0,-9.0,-5.0,-2.0,1650848852722739.0
-1.0,-1.0,6.0,8.0,4.0,-6.0,-3.0,-1.0,1650848852722739.0
-2.0,1.0,-2.0,1.0,0.0,-2.0,-2.0,-1.0,1650848852730690.0
